Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
BMW 440i Convertible	3	6	SemiAuto-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B58	small car	3	21	29	24	5	No	371
BMW 440i Convertible	3	6	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B58	small car	3	20	29	23	5	No	383
BMW 440i Convertible	3	6	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B58	small car	3	20	29	23	5	No	383
BMW 440i Coupe	3	6	Man-6	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B58	small car	3	18	28	22	4	No	405
BMW 440i Coupe	3	6	Man-6	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B58	small car	3	18	28	22	4	No	405
BMW 440i Coupe	3	6	Man-6	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B58	small car	3	18	28	21	4	No	413
BMW 440i Coupe	3	6	Man-6	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B58	small car	3	18	28	21	4	No	413
BMW 440i Coupe	3	6	SemiAuto-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B58	small car	3	21	32	25	5	No	353
BMW 440i Coupe	3	6	SemiAuto-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B58	small car	3	21	32	25	5	No	353
BMW 440i Coupe	3	6	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B58	small car	3	21	31	24	5	No	367
BMW 440i Coupe	3	6	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B58	small car	3	21	31	24	5	No	367
BMW 440i Gran Coupe	3	6	SemiAuto-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B58	small car	3	21	32	25	5	No	353
BMW 440i Gran Coupe	3	6	SemiAuto-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B58	small car	3	21	32	25	5	No	353
BMW 440i Gran Coupe	3	6	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B58	small car	3	21	31	24	5	No	367
BMW 440i Gran Coupe	3	6	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B58	small car	3	21	31	24	5	No	367
BMW 530e	2	4	SemiAuto-8	2WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	KBMXV02.0H30	small car	7	27/70	30/75	29/72	10	Elite	193
BMW 530e	2	4	SemiAuto-8	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	KBMXV02.0H30	small car	7	27/70	30/75	29/72	10	Elite	193
BMW 530e	2	4	SemiAuto-8	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	KBMXV02.0H30	small car	7	27/66	31/68	28/67	10	Elite	200
